Acacia Boat, minecraft:acacia_boat, 447;
Turtle Egg, minecraft:turtle_egg,  ;
Turtle Shell, minecraft:turtle_helmet,  ;
Turtle Spawn Egg, minecraft:turtle_spawn_egg,  ;
Twisting Vines, minecraft:twisting_vines,  ;
Vex Spawn Egg, minecraft:vex_spawn_egg,  ;
Villager Spawn Egg, minecraft:villager_spawn_egg,  ;
Vindicator Spawn Egg, minecraft:vindicator_spawn_egg,  ;
Vines, minecraft:vine, 106;
Wandering Trader Spawn Egg, minecraft:wandering_trader_spawn_egg,  ;
Warped Button, minecraft:warped_button,  ;
Warped Door, minecraft:warped_door,  ;
Warped Fence, minecraft:warped_fence,  ;
Warped Fence Gate, minecraft:warped_fence_gate,  ;
Warped Fungus, minecraft:warped_fungus,  ;
Warped Fungus on a Stick, minecraft:warped_fungus_on_a_stick,  ;
Warped Hyphae, minecraft:warped_hyphae,  ;
Warped Nylium, minecraft:warped_nylium,  ;
Warped Planks, minecraft:warped_planks,  ;
Warped Pressure Plate, minecraft:warped_pressure_plate,  ;
Warped Roots, minecraft:warped_roots,  ;
Warped Sign, minecraft:warped_sign,  ;
Warped Slab, minecraft:warped_slab,  ;
Warped Stairs, minecraft:warped_stairs,  ;
Warped Stem, minecraft:warped_stem,  ;
Warped Trapdoor, minecraft:warped_trapdoor,  ;
Warped Wart Block, minecraft:warped_wart_block,  ;
Water, minecraft:water,  ;
Water Bucket, minecraft:water_bucket, 326;
Weeping Vines, minecraft:weeping_vines,  ;
Wet Sponge, minecraft:wet_sponge,  ;
Wheat, minecraft:wheat, 296;
Seeds, minecraft:wheat_seeds, 295;
White Banner, minecraft:white_banner,  ;
White Bed, minecraft:white_bed,  ;
White Carpet, minecraft:white_carpet,  ;
White Concrete, minecraft:white_concrete,  ;
White Concrete Powder, minecraft:white_concrete_powder,  ;
White Dye, minecraft:white_dye,  ;
White Glazed Terracotta, minecraft:white_glazed_terracotta, 235;
White Shulker Box, minecraft:white_shulker_box, 219;
White Stained Glass, minecraft:white_stained_glass,  ;
White Stained Glass Pane, minecraft:white_stained_glass_pane,  ;
White Terracotta, minecraft:white_terracotta,  ;
White Tulip, minecraft:white_tulip,  ;
White Wool, minecraft:white_wool,  ;
Witch Spawn Egg, minecraft:witch_spawn_egg,  ;
Wither Rose, minecraft:wither_rose,  ;
Wither Skeleton Skull, minecraft:wither_skeleton_skull,  ;
Wither Skeleton Spawn Egg, minecraft:wither_skeleton_spawn_egg,  ;
Wolf Spawn Egg, minecraft:wolf_spawn_egg,  ;
Wooden Axe, minecraft:wooden_axe, 271;
Wooden Hoe, minecraft:wooden_hoe, 290;
Wooden Pickaxe, minecraft:wooden_pickaxe, 270;
Wooden Shovel, minecraft:wooden_shovel, 269;
Wooden Sword, minecraft:wooden_sword, 268;
Book and Quill, minecraft:writable_book, 386;
Written Book, minecraft:written_book, 387;
Yellow Banner, minecraft:yellow_banner,  ;
Yellow Bed, minecraft:yellow_bed,  ;
Yellow Carpet, minecraft:yellow_carpet,  ;
Yellow Concrete, minecraft:yellow_concrete,  ;
Yellow Concrete Powder, minecraft:yellow_concrete_powder,  ;
Yellow Dye, minecraft:yellow_dye,  ;
Yellow Glazed Terracotta, minecraft:yellow_glazed_terracotta, 239;
Yellow Shulker Box, minecraft:yellow_shulker_box, 223;
Yellow Stained Glass, minecraft:yellow_stained_glass,  ;
Yellow Stained Glass Pane, minecraft:yellow_stained_glass_pane,  ;
Yellow Terracotta, minecraft:yellow_terracotta,  ;
Yellow Wool, minecraft:yellow_wool,  ;
Zoglin Spawn Egg, minecraft:zoglin_spawn_egg,  ;
Zombie Head, minecraft:zombie_head,  ;
Zombie Horse Spawn Egg, minecraft:zombie_horse_spawn_egg,  ;
Zombie Spawn Egg, minecraft:zombie_spawn_egg,  ;
Zombie Villager Spawn Egg, minecraft:zombie_villager_spawn_egg,  ;
Zombified Piglin Spawn Egg, minecraft:zombified_piglin_spawn_egg,  ;
